DATE,SP500
2019-01-20,2670.71
2019-01-27,2664.76
2019-02-03,2706.53
2019-02-10,2707.88
2019-02-17,2775.6
2019-02-24,2792.67
2019-03-03,2803.69
2019-03-10,2743.07
2019-03-17,2822.48
2019-03-24,2800.71
2019-03-31,2834.4
2019-04-07,2892.74
2019-04-14,2907.41
2019-04-21,2905.03
2019-04-28,2939.88
2019-05-05,2945.64
2019-05-12,2881.4
2019-05-19,2859.53
2019-05-26,2826.06
2019-06-02,2752.06
2019-06-09,2873.34
2019-06-16,2886.98
2019-06-23,2950.46
2019-06-30,2941.76
2019-07-07,2990.41
2019-07-14,3013.77
2019-07-21,2976.61
2019-07-28,3025.86
2019-08-04,2932.05
2019-08-11,2918.65
2019-08-18,2888.68
2019-08-25,2847.11
2019-09-01,2926.46
2019-09-08,2978.71
2019-09-15,3007.39
2019-09-22,2992.07
2019-09-29,2961.79
2019-10-06,2952.01
2019-10-13,2970.27
2019-10-20,2986.2
2019-10-27,3022.55
2019-11-03,3066.91
2019-11-10,3093.08
2019-11-17,3120.46
2019-11-24,3110.29
2019-12-01,3140.98
2019-12-08,3145.91
2019-12-15,3168.8
2019-12-22,3221.22
2019-12-29,3240.02
2020-01-05,3234.85
2020-01-12,3265.35
2020-01-19,3329.62
2020-01-26,3295.47
2020-02-02,3225.52
2020-02-09,3327.71
2020-02-16,3380.16
2020-02-23,3337.75
2020-03-01,2954.22
2020-03-08,2972.37
2020-03-15,2711.02
2020-03-22,2304.92
2020-03-29,2541.47
2020-04-05,2488.65
2020-04-12,2789.82
2020-04-19,2874.56
2020-04-26,2836.74
2020-05-03,2830.71
2020-05-10,2929.8
2020-05-17,2863.7
2020-05-24,2955.45
2020-05-31,3044.31
2020-06-07,3193.93
2020-06-14,3041.31
2020-06-21,3097.74
2020-06-28,3009.05
2020-07-05,3130.01
2020-07-12,3185.04
2020-07-19,3224.73
2020-07-26,3215.63
2020-08-02,3271.12
2020-08-09,3351.28
2020-08-16,3372.85
2020-08-23,3397.16
2020-08-30,3508.01
2020-09-06,3426.96
2020-09-13,3340.97
2020-09-20,3319.47
2020-09-27,3298.46
2020-10-04,3348.44
2020-10-11,3477.13
2020-10-18,3483.81
2020-10-25,3465.39
2020-11-01,3269.96
2020-11-08,3509.44
2020-11-15,3585.15
2020-11-22,3557.54
2020-11-29,3638.35
2020-12-06,3699.12
2020-12-13,3663.46
2020-12-20,3709.41
2020-12-27,3703.06
2021-01-03,3756.07
2021-01-10,3824.68
2021-01-17,3768.25
2021-01-24,3841.47
2021-01-31,3714.24
2021-02-07,3886.83
2021-02-14,3934.83
2021-02-21,3906.71
2021-02-28,3811.15
2021-03-07,3841.94
2021-03-14,3943.34
2021-03-21,3913.1
2021-03-28,3974.54
2021-04-04,4019.87
2021-04-11,4128.8
2021-04-18,4185.47
2021-04-25,4180.17
2021-05-02,4181.17
2021-05-09,4232.6
2021-05-16,4173.85
2021-05-23,4155.86
2021-05-30,4204.11
2021-06-06,4229.89
2021-06-13,4247.44
2021-06-20,4166.45
2021-06-27,4280.7
2021-07-04,4352.34
2021-07-11,4369.55
2021-07-18,4327.16
2021-07-25,4411.79
2021-08-01,4395.26
2021-08-08,4436.52
2021-08-15,4468.0
2021-08-22,4441.67
2021-08-29,4509.37
2021-09-05,4535.43
2021-09-12,4458.58
2021-09-19,4432.99
2021-09-26,4455.48
2021-10-03,4357.04
2021-10-10,4391.34
2021-10-17,4471.37
2021-10-24,4544.9
2021-10-31,4605.38
2021-11-07,4697.53
2021-11-14,4682.85
2021-11-21,4697.96
2021-11-28,4594.62
2021-12-05,4538.43
2021-12-12,4712.02
2021-12-19,4620.64
2021-12-26,4725.79
2022-01-02,4766.18
2022-01-09,4677.03
2022-01-16,4662.85
2022-01-23,4397.94
2022-01-30,4431.85
2022-02-06,4500.53
2022-02-13,4418.64
2022-02-20,4348.87
2022-02-27,4384.65
2022-03-06,4328.87
2022-03-13,4204.31
2022-03-20,4463.12
2022-03-27,4543.06
2022-04-03,4545.86
2022-04-10,4488.28
2022-04-17,4392.59
2022-04-24,4271.78
2022-05-01,4131.93
2022-05-08,4123.34
2022-05-15,4023.89
2022-05-22,3901.36
2022-05-29,4158.24
2022-06-05,4108.54
2022-06-12,3900.86
2022-06-19,3674.84
2022-06-26,3911.74
2022-07-03,3825.33
2022-07-10,3899.38
2022-07-17,3863.16
2022-07-24,3961.63
2022-07-31,4130.29
2022-08-07,4145.19
2022-08-14,4280.15
2022-08-21,4228.48
2022-08-28,4057.66
2022-09-04,3924.26
2022-09-11,4067.36
2022-09-18,3873.33
2022-09-25,3693.23
2022-10-02,3585.62
2022-10-09,3639.66
2022-10-16,3583.07
2022-10-23,3752.75
2022-10-30,3901.06
2022-11-06,3770.55
2022-11-13,3992.93
2022-11-20,3965.34
2022-11-27,4026.12
2022-12-04,4071.7
2022-12-11,3934.38
2022-12-18,3852.36
2022-12-25,3844.82
2023-01-01,3839.5
2023-01-08,3895.08
2023-01-15,3999.09
2023-01-22,3972.61
2023-01-29,4070.56
2023-02-05,4136.48
2023-02-12,4090.46
2023-02-19,4079.09
2023-02-26,3970.04
2023-03-05,4045.64
2023-03-12,3861.59
2023-03-19,3916.64
2023-03-26,3970.99
2023-04-02,4109.31
2023-04-09,4105.02
2023-04-16,4137.64
2023-04-23,4133.52
2023-04-30,4169.48
2023-05-07,4136.25
2023-05-14,4124.08
2023-05-21,4191.98
2023-05-28,4205.45
2023-06-04,4282.37
2023-06-11,4298.86
2023-06-18,4409.59
2023-06-25,4348.33
2023-07-02,4450.38
2023-07-09,4398.95
2023-07-16,4505.42
2023-07-23,4536.34
2023-07-30,4582.23
2023-08-06,4478.03
2023-08-13,4464.05
2023-08-20,4369.71
2023-08-27,4405.71
2023-09-03,4515.77
2023-09-10,4457.49
2023-09-17,4450.32
2023-09-24,4320.06
2023-10-01,4288.05
2023-10-08,4308.5
2023-10-15,4327.78
2023-10-22,4224.16
2023-10-29,4117.37
2023-11-05,4358.34
2023-11-12,4415.24
2023-11-19,4514.02
2023-11-26,4559.34
2023-12-03,4594.63
2023-12-10,4604.37
2023-12-17,4719.19
2023-12-24,4754.63
2023-12-31,4769.83
2024-01-07,4697.24
2024-01-14,4780.24
